,Count,News Agency,Compound Score,Positive Score,Negative Score,Neutral Score,Status Tweet
32,32,@BBC,-0.2732,0.106,0.157,0.737,"There's around 500k pieces of space junk orbiting Earth, posing a huge threat to astronauts. The RemoveDebris space… https://t.co/MLFaaVAxta"
33,33,@BBC,0.0,0.0,0.0,1.0,"As @Lord_Sugar's search for his next business partner continues, take an in-depth look at the remaining candidates.… https://t.co/jkK7AHquzr"
34,34,@BBC,0.1027,0.126,0.104,0.769,"'For me, drag is a device to entertain people and make them laugh.' 💋💅
Via @BBCTheSocial. https://t.co/urnzq6NJJA"
35,35,@BBC,0.5719,0.156,0.0,0.844,"You might think the hipster beard is a new trend, but the mid-19th century was a true golden age for massive facial… https://t.co/dsJojiqMgH"
36,36,@BBC,0.0,0.0,0.0,1.0,"RT @bbcmusic: WHAT A LINE UP 😍
Tonight's #SLFN guest host: the incredible @DuaLipa 🌹
Performances from @KasabianHQ, @RagNBoneManUK, @RAYE a…"
37,37,@BBC,-0.3182,0.0,0.087,0.913,"RT @bbc5live: 10-year-old William thought he'd lost his camera when it was swept out to sea 📷 🌊

But he's been reunited with it after it wa…"
38,38,@BBC,0.6124,0.167,0.0,0.833,"RT @BBCSpringwatch: We've some gorgeous gannets in today's advent calendar. 🎄🎅🏽
They're busy building nests - I wonder if they can make wre…"
39,39,@BBC,0.0,0.0,0.0,1.0,RT @BBCOne: ✨ @Chris_Stark reveals the magic behind *that* BBC One Christmas tearjerker. https://t.co/FbLj5SrI6y
40,40,@BBC,0.6369,0.189,0.0,0.811,🗓 🎶 @ClaudiaWinkle and @Claraamfo look back at this year's best music. The Year in Music 2017. 9pm on @BBCTwo.… https://t.co/fqm4A0Wv3C
41,41,@BBC,-0.8271,0.0,0.268,0.732,"🎬 From the new Star Wars to the story of the worst movie ever made, here are 9 movies to watch in December. 👉… https://t.co/Zihk2ad0dz"
42,42,@BBC,0.0,0.0,0.0,1.0,"Sharks, bear markets, narwhals &amp; yak shaving - do you know the 
business beast ABC?
Full guide here 👉… https://t.co/kgxpnSZf4A"
43,43,@BBC,0.4767,0.186,0.0,0.814,"Remember how we actually did alright at Eurovision this year? 🎤🎶

10 surprising music moments from 2017 you've alre… https://t.co/hS72dmiWNE"
44,44,@BBC,0.4588,0.176,0.0,0.824,👦🤔👧 Are you smarter than an 11-year-old? Take this quiz &amp; find out... https://t.co/JNbY5UN9QB https://t.co/nZWffIrmGv
45,45,@BBC,0.5106,0.147,0.06,0.792,"RT @bbcmusic: 💖@Harry_Styles is nominated for BBC Music Artist Of The Year, and we STILL have goosebumps from his beautiful 'Girl Crush' pe…"
46,46,@BBC,0.0,0.0,0.0,1.0,"'If you don't get the angle right, it's not going to work.'
Can you #DoTheHuw? 😂 https://t.co/hYxrN6C790"
47,47,@BBC,0.0,0.0,0.0,1.0,Stewards working at Prince Harry &amp; Meghan Markle's Royal Wedding have been told to watch Suits before the big day.… https://t.co/ErN62dBvF6
48,48,@BBC,0.6808,0.359,0.0,0.641,"The perfect warm drink for cold December evenings. ☕️😋 
Via @BBCFood. https://t.co/clDVQqgSOj"
49,49,@BBC,0.4939,0.132,0.0,0.868,"RT @bbcworldservice: ""Falls reduced by 60%."" Why some care home residents are 'pimping' their walking frames. Follow the link for more from…"
50,50,@BBC,0.0,0.0,0.0,1.0,Professional clowns must choose a unique facial makeup design – and they have an unusual way of ‘protecting’ it fro… https://t.co/zmkytd7z8v
51,51,@BBC,0.0,0.0,0.0,1.0,"RT @CBeebiesHQ: STICK! 
STICK! 
STICK! 
STICK! 
STICKY!
STICKY!
STICK! 
STICK! 
STICK!
STICK! 
STICKY! 
STICKY!
STICK! 
STICK! 
STICK! 
STI…"
52,52,@BBC,0.34,0.118,0.0,0.882,"'A 40,000-year-old carving is the first evidence we have of shared beliefs.' 🦁

9 things you didn’t know about huma… https://t.co/yPqgdMQWGL"
53,53,@BBC,0.0,0.0,0.0,1.0,"In Pakistan, one woman dies from complications in childbirth or pregnancy every 20 minutes.
Via @BBCWorldService. https://t.co/UV8NsDX3h9"
54,54,@BBC,-0.2732,0.108,0.156,0.736,"Natural disasters, fires, plagues &amp; war... Hammerfest is the Norwegian town that the world tried to erase. Via… https://t.co/Lvd1b7qcGd"
55,55,@BBC,-0.886,0.0,0.487,0.513,"'If you complain, you lose your work.'
Classical music has a sexual harassment problem too. https://t.co/9RWhnxJaFi… https://t.co/jsKgn7n6ng"
56,56,@BBC,0.5423,0.163,0.0,0.837,"The 'Merry Monarch' presided over a hedonistic court &amp; fathered 12 illegitimate children. But, after the years of C… https://t.co/pFOt08WSNT"
57,57,@BBC,-0.4939,0.0,0.174,0.826,"Step away from the cookie dough...  🍪🙅
The @US_FDA has warned against eating raw dough, due to risk of E. coli.… https://t.co/5P2vMV7LNL"
58,58,@BBC,0.0,0.0,0.0,1.0,😋 Christmas canapés that your vegetarian guests will eat right up. 👉 https://t.co/zLYuvv4LGD https://t.co/hp1wOIOKaP
59,59,@BBC,0.2732,0.231,0.0,0.769,"Well, the intention was there. 😂
Via @BBCTheSocial. https://t.co/wn5GDMKRLr"
60,60,@BBC,-0.4215,0.0,0.177,0.823,The first Scrooge: How the world’s best-known miser was brought to life. 😠 https://t.co/sm04aNKxmz https://t.co/cmf553OWUA
61,61,@BBC,0.0,0.0,0.0,1.0,🏂 These prosthetic feet are designed specifically for snowboarding. Via @BBCClick. https://t.co/6Lwjtc6vZM
62,62,@BBC,0.0,0.0,0.0,1.0,"🎤😍 Still can't get over @RitaOra's #SLFN performance last week...
Catch up here. 👉 https://t.co/7RsS8rIkbR
Via… https://t.co/WWTXwbyCOP"
63,63,@BBC,0.6369,0.219,0.0,0.781,"Embracing me-time, onesie-wearing and cheeky snogs... being single at Christmas time is the best. 🎁… https://t.co/Nzr1my5gmT"
64,64,@BBC,-0.3612,0.0,0.143,0.857,RT @BBCTwo: This is why you should NEVER mess with other people's things... 😱😂 #Motherland https://t.co/59wJYnkHLz
65,65,@BBC,-0.2168,0.0,0.089,0.911,"Can an employer demand that you go to work naked? What makes a dress code reasonable or unreasonable? 👔👠
Via… https://t.co/RXFvbZ89rY"
66,66,@BBC,0.0,0.0,0.0,1.0,"Passers-by in this Belgian town have been asking, 'is this modern art?' after seeing a building slowly envelop a st… https://t.co/5UsApOKurQ"
67,67,@BBC,0.5434,0.212,0.0,0.788,"🎄🍿 A snack to bring a little joy to your world this Christmas. 
Via @BBCFood. https://t.co/YM6ALRCeYQ"
68,68,@BBC,0.4019,0.184,0.0,0.816,Why I’m not going to any Christmas parties this year. 🎁🙅 https://t.co/S8gxk2r8cV https://t.co/gCImpSVyko
69,69,@BBC,0.128,0.077,0.0,0.923,🏳️‍🌈 Same-sex marriage will become legal in Australia after a historic bill was passed in the House of Representati… https://t.co/pTJ33ogFN6
70,70,@BBC,0.34,0.13,0.0,0.87,"This 98-year-old lady is about to star in her first ever nativity play. ❤️
Via @BBCLookNorth. https://t.co/64le1kLdvz"
71,71,@BBC,0.8957,0.396,0.0,0.604,"RT @BBC_Teach: Are you ready to join the Super Movement?

Coming soon - a new exciting partnership between the BBC and @premierleague to in…"
72,72,@BBC,0.4588,0.158,0.0,0.842,"Quiz: Operation Ouch's Sleigh &amp; E.
Do you know the right remedies for these festive injuries?… https://t.co/KeAzSsoEYz"
73,73,@BBC,0.0,0.0,0.0,1.0,"Meet the women who have secret protection against HIV, for when men won't wear condoms.
Via BBC World Hacks. https://t.co/SIKhIiItkd"
74,74,@BBC,-0.8934,0.0,0.394,0.606,"RT @BBC100women: ""The violence, in a split second, destroyed my life.""
Resham Khan was left seriously injured after acid was thrown in her…"
75,75,@BBC,0.7184,0.292,0.0,0.708,"RT @BBCBreaking: Australians voted yes, now so do their MPs: Same-sex marriage will be legal after historic bill approved https://t.co/yNmp…"
76,76,@BBC,0.4939,0.186,0.0,0.814,RT @BBCFood: Cinnamon adds a touch of festivity to porridge. What do you use? 🤔 https://t.co/EUtdO3rRF4 https://t.co/XWAgqH9nK4
77,77,@BBC,0.0,0.0,0.0,1.0,"RT @BBCBreakfast: The new City of Culture will be revealed later. 
Coventry, Paisley, Stoke-on-Trent, Sunderland and Swansea are in the run…"
78,78,@BBC,0.8488,0.366,0.0,0.634,"RT @CBeebiesHQ: 🐨 #NOSTALGIA ALERT! 🐨

🎵Have you ever, ever felt like this…? 🎵 

Enjoy this #Earworm from down under! 🇦🇺

 #ThrowbackThursd…"
79,79,@BBC,0.7579,0.306,0.0,0.694,Powerful storms can produce tremors that are helping geologists to see what the Earth’s interior might be like. 👀🌍… https://t.co/OKOZVN1xIu
80,80,@BBC,0.0,0.0,0.0,1.0,The story of a body of water's extraordinary journey in the largest silver objects ever produced. 💦⚱… https://t.co/imsRUNBqBb
81,81,@BBC,0.0258,0.127,0.169,0.704,🐆❄️ The Frozen Ark at @UniofNottingham is freezing cells from endangered animals to help stop extinction. 📻… https://t.co/TWfVmzDj8Y
82,82,@BBC,0.0,0.0,0.0,1.0,RT @BBCTheOneShow: Tomorrow The Queen will commission @HMSQnlz into service in #portsmouth -It's The @RoyalNavy’s biggest and most advanced…
83,83,@BBC,-0.4767,0.0,0.204,0.796,RT @BBCNewsbeat: Anybody else still get tears watching the kids interrupting the BBC interview about North Korea? 😂 https://t.co/9kt5GL1nuP
84,84,@BBC,0.0,0.0,0.0,1.0,"RT @bbcmusic: She's the most-streamed female artist of 2017, and she's guest hosting #SLFN this week 😍
@DUALIPA we cannot WAIT 💕
Watch: Fri…"
85,85,@BBC,0.6696,0.244,0.0,0.756,"RT @bbcstories: Age is just a number - Charles took up sprinting at 95 and became a world champion! 🏃🏼🥇 
#EverydayHeroes https://t.co/OgnOI…"
86,86,@BBC,0.0,0.0,0.0,1.0,"RT @TWBBC: One week til Tomorrow's World Live from Glasgow @gsc1 

⌚👩+🤖 Our last episode 'Me and My Robot' is on @BBCiPlayer until 6pm toda…"
87,87,@BBC,-0.1779,0.0,0.072,0.928,"RT @bbcmusic: 💫@Harry_Styles is nominated for BBC Music Artist Of The Year, and we're STILL obsessed with this performance of 'Sign Of The…"
88,88,@BBC,0.0,0.0,0.0,1.0,"RT @BBCEarth: The water in our oceans fell in frozen lumps from space 
#BluePlanet2 #OurBluePlanet https://t.co/cT0GSthTLD"
89,89,@BBC,0.891,0.431,0.0,0.569,"RT @BBCSpringwatch: A gorgeous long-eared owl in today's advent calendar 🎄🗓️
Tag a friend who's this fabulous 💅🏽 https://t.co/tyhSndmzyh"
90,90,@BBC,-0.4767,0.0,0.103,0.897,RT @BBCNewsPR: Our very own @HuwBBC went back to school to show young people how to spot fake or false info. AND he also showed them how to…
91,91,@BBC,0.0,0.0,0.0,1.0,RT @bbcintroducing: Take a look at @DeclanMcKenna's journey to become the @BBCMusic Introducing Artist of the Year: https://t.co/ThyRiBl1EN…
92,92,@BBC,0.5859,0.153,0.0,0.847,"Lubaina Himid has become the oldest winner of the #TurnerPrize, and the first black woman to pick up the art award.… https://t.co/Bljbhmgy8U"
93,93,@BBC,0.4927,0.171,0.079,0.75,📻 Canadian @RupiKaur_ is one of the most successful poets in recent history. She gets stopped on the streets these… https://t.co/bVOMof6EpC
94,94,@BBC,0.0,0.0,0.0,1.0,"😋🍲 @Rick_Stein's ‘carne con chilli’ is simple but amazing.👌
Full recipe here 👉 https://t.co/aG8c8Kinf3… https://t.co/hvxt61SPAc"
95,95,@BBC,0.2263,0.087,0.0,0.913,"'We could sing before we could speak.' 🎵
Six things we learned from Beyond Belief’s exploration of the power of cha… https://t.co/jvaz92ssm3"
96,96,@BBC,0.2023,0.164,0.133,0.703,"👁 More than 200 years after the Illuminati was founded, it has become one of the world’s greatest conspiracy theori… https://t.co/I3zrWKYYiF"
97,97,@BBC,0.6571,0.215,0.0,0.785,"RT @CBeebiesHQ: #BedtimeStory Assemble! 😉

@ChrisEvans's 'Goodnight World' story is being repeated tonight at 6:50pm!

Merry Chris-mas! 🎅 h…"
98,98,@BBC,-0.5859,0.0,0.242,0.758,"Star Wars' @HamillHimself uses 'the old wheelchair trick' while Jennifer Lawrence is 'incredibly rude.'

📸 Here's h… https://t.co/kAqT0O2dqv"
99,99,@BBC,0.0,0.0,0.0,1.0,Why some people can hear this silent gif... https://t.co/NRZJbZEV4F https://t.co/NYM6qIWdLB
100,0,@CBS,0.5754,0.189,0.07,0.742,Don’t miss America’s Game! Stream the Army-Navy game LIVE today at 3PM ET with a FREE trial of #CBSAllAccess:… https://t.co/38udnQj2vs
101,1,@CBS,0.6476,0.209,0.0,0.791,"There's still time before we have to say so long! Catch up with Carol Burnett, her original castmates and special g… https://t.co/WTiK8dzaXO"
102,2,@CBS,0.8126,0.303,0.0,0.697,RT @bigbangtheory: It's the biggest best friend breakup of the year... 😱 Stream the latest full episode of #BigBangTheory: https://t.co/iIw…
103,3,@CBS,0.7777,0.254,0.0,0.746,"RT @AmazingRaceCBS: Presenting... the 30th cast of the #AmazingRace! Made up of champions and winners, this is quite literally the most com…"
104,4,@CBS,0.5423,0.137,0.0,0.863,Do you know all the nominees for Song Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of Mu… https://t.co/I6hhOtfQjb
105,5,@CBS,0.3182,0.126,0.0,0.874,"A new Twilight Zone original series is coming exclusively to CBS All Access in association with @JordanPeele,… https://t.co/fVYnhUASee"
106,6,@CBS,0.1511,0.09,0.0,0.91,RT @SuperiorDonuts: You'll want to check this box! ☑︎ Stream the latest episode of #SuperiorDonuts: https://t.co/h1xhKLCAPl https://t.co/d8…
107,7,@CBS,0.4199,0.117,0.0,0.883,RT @YoungSheldon: Wondering what it's like behind the scenes of #YoungSheldon? Let star @OfficialRaeganR take you on a tour of the set! htt…
108,8,@CBS,0.5106,0.163,0.0,0.837,The Kennedy Center Honors recognizes the lifetime contributions of all types of performance artists. Watch the 40th… https://t.co/azF3rW2ptw
109,9,@CBS,0.0,0.0,0.0,1.0,RT @YoungSheldon: There's something @elonmusk never told you about @spacex's Falcon 9. 📓  #YoungSheldon https://t.co/bu3W0IC8zN
110,10,@CBS,0.3612,0.106,0.0,0.894,"Just like old times, Carol Burnett bumps up the lights and answers questions from the audience. Catch up on The Car… https://t.co/9r7WI8d1tZ"
111,11,@CBS,0.9217,0.504,0.0,0.496,Star comedian @JimCarrey gets emotional when he expresses his heartfelt thanks to Carol Burnett for her positive in… https://t.co/5QCejBcg5T
112,12,@CBS,0.5213,0.187,0.0,0.813,Take a trip down memory lane with Carol Burnett for a special tribute you'll never forget. Catch up on The Carol Bu… https://t.co/XBINDav614
113,13,@CBS,-0.5655,0.0,0.177,0.823,"RT @JLawlorNY: So, ok...maybe I'm crying at at the #CarolBurnett50 finale with everyone singing her theme song! #ImSoGladWeHadThisTimeToget…"
114,14,@CBS,0.9466,0.672,0.0,0.328,RT @junerenee: A true classic and favorite!! Love #CarolBurnett50 laughed and cried...just like before!
115,15,@CBS,0.5994,0.281,0.0,0.719,RT if you’ve loved reliving these classic moments during #CarolBurnett50 https://t.co/I1tIWeSlsQ
116,16,@CBS,0.7906,0.269,0.0,0.731,RT @Mom101: I can't tell you the joy of seeing my 10yo laughing at this. Especially the Tim Conway dentist sketch.  #CarolBurnett50
117,17,@CBS,0.8689,0.329,0.0,0.671,"RT @AdeleAndMike: Thank You for bringing back such wonderful memories, the entire family would gather to watch, and we would then laugh abo…"
118,18,@CBS,0.8016,0.264,0.0,0.736,RT @tessab13: The Siamese Elephants skit on the Carol Burnett show is such a classic and possibly my favorite. Loved Tim Conway! #CarolBurn…
119,19,@CBS,0.5719,0.156,0.0,0.844,RT @inezpanebianco: @OfficialBPeters and Carol Burnett reminiscing back on the carol burnett show is my idea of a perfect night ❤️ #CarolBu…
120,20,@CBS,0.0,0.0,0.0,1.0,"What a performance by @OfficialBPeters, @KChenoweth, Carol Burnett, Steve Lawrence, and @StephenAtHome!… https://t.co/DqewQ6ASQp"
121,21,@CBS,0.25,0.133,0.0,0.867,RT @jonjeffryes: Bob Mackie created 65 costumes a week for The Carol Burnett Show #CarolBurnett50
122,22,@CBS,0.0,0.0,0.0,1.0,RT @bmayberry92: Steve Carell with that video submission though! 😂 #carolburnett50
123,23,@CBS,0.0,0.0,0.0,1.0,She’s still got it! #CarolBurnett50 https://t.co/zTxZc5zrqP
124,24,@CBS,0.8591,0.487,0.0,0.513,RT @BobMackie: Our friend Tim Conway never failed to make us laugh #CarolBurnett50
125,25,@CBS,-0.2263,0.0,0.076,0.924,RT @bpeters99: #CarolBurnett50  Am I the Only one with tears in my eyes while I give a standing ovation from my couch? One of the most bril…
126,26,@CBS,0.5574,0.194,0.0,0.806,RT @SuperJen1117: This show is awesome...Some of the funniest women together on one stage 🙌🏼❤️ #CarolBurnett50
127,27,@CBS,0.3612,0.238,0.0,0.762,These two are just like sisters ❤️ #CarolBurnett50 https://t.co/EPpyf2kOuV
128,28,@CBS,0.4588,0.136,0.0,0.864,RT @chattie: Watching #carolburnett50  can’t quit smiling. Brings me memories of watching on Saturday nights with my mom and grandma.
129,29,@CBS,0.807,0.356,0.0,0.644,RT @DanRocks98: Settling in for the #CarolBurnett50 special. This lady is comedy gold! A true staple of my childhood.
130,30,@CBS,0.4574,0.13,0.0,0.87,She’s back! Tune in now to see The Carol Burnett 50th Anniversary Special on CBS and CBS All Access. #CarolBurnett50 https://t.co/HhvRmT5AR0
131,31,@CBS,-0.2263,0.0,0.095,0.905,"Due to #NFL football overrun #CBS is delayed 11 min in: 
Atlanta 
Baltimore 
Columbus
Cleveland 
Toledo
Detroit
Fli… https://t.co/oCkn11yJOR"
132,32,@CBS,0.8271,0.352,0.0,0.648,Relive the laughter and the magic in this star-studded tribute to everyone's favorite classic comedy show. Don't mi… https://t.co/WV6jxBnRAt
133,33,@CBS,0.7783,0.286,0.0,0.714,"Tonight, spend an evening together with Carol Burnett and celebrity friends as they celebrate The Carol Burnett 50t… https://t.co/uH2uM9cJFS"
134,34,@CBS,0.8658,0.386,0.0,0.614,Carol Burnett credits the close-knit cast for the success of her show. Join her and original cast members Vicki Law… https://t.co/1rlNPUS5EJ
135,35,@CBS,0.8516,0.353,0.0,0.647,Carol Burnett and friends reflect on how the show became an instant classic that's still celebrated today! Join the… https://t.co/lZgVz9XSyM
136,36,@CBS,0.7897,0.28,0.0,0.72,"Tonight, celebrate with Carol Burnett, Vicki Lawrence, Lyle Waggoner &amp; more special guests! Find out how to watch T… https://t.co/Rhm6RJ34u2"
137,37,@CBS,0.6166,0.175,0.0,0.825,Stream Indiana at Michigan LIVE today at 12:30PM ET with a 1-month FREE trial of #CBSAllAccess. Just use promo code… https://t.co/xRem3zSyEQ
138,38,@CBS,0.1867,0.098,0.0,0.902,Kristin Chenoweth (@KChenoweth) explains why audiences still crave Carol Burnett! Don't miss The Carol Burnett 50th… https://t.co/kM92NTtTfs
139,39,@CBS,0.6996,0.179,0.0,0.821,"Catch up on this amazing lineup of music specials! Here's how to watch Bruno Mars: 24K Magic Live at the Apollo, Th… https://t.co/Jit2CzZJCY"
140,40,@CBS,-0.3595,0.0,0.128,0.872,Missed Bruno Mars: 24K Magic Live at the Apollo? Keep up! Watch the full show: https://t.co/itXpGB5gRm #BrunoMars https://t.co/8yyQlC1LML
141,41,@CBS,0.3612,0.116,0.0,0.884,Reminisce with these classic photos and get ready to relive the magic when The Carol Burnett 50th Anniversary Speci… https://t.co/yJQEzCjoSA
142,42,@CBS,0.4199,0.134,0.0,0.866,"RT @LivinBiblically: In the beginning, there was Chip. And lo! Chip had a revelation. #LivingBiblically is a new comedy premiering Monday,…"
143,43,@CBS,0.7707,0.282,0.0,0.718,"Discover these pro football stars' off-the-field talents in MVP: Most Valuable Performer, airing Jan 25 on CBS! Fin… https://t.co/g8jSRW8mQf"
144,44,@CBS,0.0,0.0,0.0,1.0,"Find out when #BigBrother celebrity edition, #AmazingRace, #Survivor, new drama @instinctcbs and new comedy… https://t.co/4Psl74zcCB"
145,45,@CBS,0.8221,0.309,0.0,0.691,Actress @BethBehrs explains why Carol Burnett is her hero! Celebrate her lasting influence with The Carol Burnett 5… https://t.co/Lnt5P9jEu0
146,46,@CBS,0.0,0.0,0.0,1.0,"RT @instinctcbs: New drama #Instinct, starring @Alancumming, premieres Sunday, March 11 on @CBS! https://t.co/aaL0JXpqav"
147,47,@CBS,0.0,0.0,0.0,1.0,"RT @AmazingRaceCBS: On your marks... #AmazingRace returns Wednesday, January 3! https://t.co/XMSJSUymUZ"
148,48,@CBS,0.0,0.0,0.0,1.0,RT @CBSBigBrother: Mark. Your. Calendars. The celebrity edition of #BigBrother premieres February 7! https://t.co/nP3Do6jTwM
149,49,@CBS,0.6893,0.251,0.0,0.749,The Angels await you... catch up on the world's most celebrated fashion show now! Watch the full 2017… https://t.co/xfYDbEzpfX
150,50,@CBS,0.1901,0.093,0.0,0.907,"Comedy stars Amy Poehler, Bill Hader, @MayaRudolph &amp; @TraceeEllisRoss give the legendary Tarzan yell a try- but no… https://t.co/lrrHE2f9Nv"
151,51,@CBS,0.296,0.128,0.0,0.872,Action-adventure series 'Blood &amp; Treasure' has been picked up for broadcast in Summer 2019: https://t.co/gAjqbF5bYh https://t.co/3cTBH9AKFI
152,52,@CBS,0.0,0.0,0.0,1.0,Carol Burnett visited @TheTalkCBS to discuss how she got her start in show business! Watch The Carol Burnett 50th A… https://t.co/EyqmFWZHEC
153,53,@CBS,0.6115,0.227,0.0,0.773,"The world's most beloved fairy tales are reimagined as a dark &amp; twisted psychological thriller in ""Tell Me A Story,… https://t.co/CytIswrRj1"
154,54,@CBS,0.0,0.0,0.0,1.0,RT @RansomCBS: #Ransom star @luke_j_roberts on set in Budapest for Season 2! https://t.co/rgC5ylqSMp
155,55,@CBS,0.6808,0.248,0.0,0.752,Comic @JayLeno reflects on the major impression Carol Burnett left on him. Celebrate The Carol Burnett 50th Anniver… https://t.co/PIakndHJt1
156,56,@CBS,0.3612,0.135,0.0,0.865,"Watch #BrunoMars perform ""That's What I Like"" in Bruno Mars: 24K Magic Live at the Apollo: https://t.co/hAFcB9HpE3 https://t.co/I7ZWHdDYCP"
